model,seq_len,tokens_removed,kl_divergence,js_divergence,l1_distance,top1_match,top5_overlap,top10_overlap,cosine_similarity
gpt2,512,0,0.0,0.0,0.0,1,1.0,1.0,1.0000040531158447
gpt2,512,1,0.00017225694318767637,4.123156031710096e-05,0.0032324297353625298,1,1.0,0.8,1.0000042915344238
gpt2,512,2,7.941747026052326e-05,1.95205066120252e-05,0.0017195158870890737,1,1.0,0.8,1.0000038146972656
gpt2,512,4,5.076477464172058e-05,1.2884517673228402e-05,0.0008127386099658906,1,1.0,0.8,1.0000040531158447
gpt2,512,8,0.0008201156742870808,0.0001882179349195212,0.0067363823764026165,1,0.8,0.8,1.000003695487976
gpt2,512,16,0.0005398651701398194,0.0001260538374481257,0.005667880643159151,1,0.8,0.8,1.000003695487976
gpt2,512,32,0.00020261408644728363,4.872625504503958e-05,0.0032922595273703337,1,0.8,0.8,1.0000038146972656
gpt2,512,64,0.0007117876084521413,0.00016387832147302106,0.005949838552623987,1,0.8,0.9,1.0000033378601074
gpt2,512,128,0.0007734401733614504,0.0001769603113643825,0.0064439005218446255,1,0.8,0.8,1.0000030994415283
gpt2,1024,0,0.0,0.0,0.0,1,1.0,1.0,0.9999924898147583
gpt2,1024,1,2.3400057216349524e-06,6.03884188876691e-07,5.757212056778371e-05,1,1.0,0.9,0.9999924898147583
gpt2,1024,2,6.082316758693196e-06,1.4176546869748563e-06,0.00010772345558507368,1,1.0,0.9,0.9999924898147583
gpt2,1024,4,4.467010967346141e-06,1.124161315146921e-06,8.801974763628095e-05,1,1.0,0.9,0.9999923706054688
gpt2,1024,8,2.265390685352031e-05,5.287868589221034e-06,0.00021235403255559504,1,1.0,1.0,0.9999920725822449
gpt2,1024,16,2.1603191271424294e-06,5.194836774080613e-07,3.656591070466675e-05,1,1.0,0.9,0.9999922513961792
gpt2,1024,32,2.55508075497346e-06,6.697036383229715e-07,6.303005648078397e-05,1,1.0,1.0,0.9999921321868896
gpt2,1024,64,1.4837265553069301e-05,3.5101551247862517e-06,0.00016708490147721022,1,1.0,1.0,0.999992311000824
gpt2,1024,128,5.110566235089209e-06,1.3915893646299082e-06,9.780999971553683e-05,1,1.0,1.0,0.9999921917915344
