seq_len,strategy,n_sink,n_removed,ppl,loss,ppl_ratio,loss_delta
256,baseline,0,0,3.1413161754608154,1.1446418762207031,1.0,0.0
256,no_sink_window,0,1,3.218862295150757,1.1690280437469482,1.0246858690302214,0.024386167526245117
256,no_sink_window,0,2,3.244028091430664,1.1768157482147217,1.0326970958135984,0.032173871994018555
256,no_sink_window,0,4,3.221040964126587,1.169704556465149,1.0253794219405743,0.0250626802444458
256,no_sink_window,0,8,3.375386953353882,1.2165100574493408,1.0745136002932687,0.0718681812286377
256,no_sink_window,0,16,3.6140456199645996,1.2848278284072876,1.1504876994543336,0.14018595218658447
256,no_sink_window,0,32,3.947222948074341,1.3730123043060303,1.256550670992328,0.22837042808532715
256,sink_1,1,4,3.419710874557495,1.2295559644699097,1.0886235843661425,0.08491408824920654
256,sink_1,1,8,3.682385206222534,1.303560733795166,1.1722427799495052,0.1589188575744629
256,sink_1,1,16,3.888427495956421,1.3580048084259033,1.2378338501332193,0.2133629322052002
256,sink_1,1,32,4.0213141441345215,1.391608715057373,1.2801367068835772,0.24696683883666992
256,sink_1,1,64,5.331831932067871,1.6736948490142822,1.6973241896880111,0.5290529727935791
256,sink_4,4,4,3.875962018966675,1.354793906211853,1.233865616344108,0.2101520299911499
256,sink_4,4,8,3.9862425327301025,1.382849097251892,1.2689720836984328,0.23820722103118896
256,sink_4,4,16,4.151397228240967,1.4234449863433838,1.321547082929969,0.27880311012268066
256,sink_4,4,32,4.413594722747803,1.484689474105835,1.4050144831729172,0.34004759788513184
256,sink_4,4,64,5.89422082901001,1.7739722728729248,1.8763538911027817,0.6293303966522217
512,baseline,0,0,1.8002724647521973,0.5879380106925964,1.0,0.0
512,no_sink_window,0,1,1.8195925951004028,0.5986126065254211,1.0107317812867092,0.010674595832824707
512,no_sink_window,0,2,1.8232208490371704,0.6006046533584595,1.012747172849823,0.012666642665863037
512,no_sink_window,0,4,1.8128855228424072,0.5949198007583618,1.0070061939718364,0.006981790065765381
512,no_sink_window,0,8,1.8445581197738647,0.6122397780418396,1.024599418081842,0.024301767349243164
512,no_sink_window,0,16,1.8901216983795166,0.6366412043571472,1.049908686260825,0.04870319366455078
512,no_sink_window,0,32,1.9267510175704956,0.6558351516723633,1.0702552281916435,0.06789714097976685
512,sink_1,1,4,1.8687700033187866,0.6252804398536682,1.0380484287282692,0.03734242916107178
512,sink_1,1,8,1.9262806177139282,0.6555909514427185,1.0699939344898417,0.06765294075012207
512,sink_1,1,16,1.954851508140564,0.6703142523765564,1.085864249115005,0.08237624168395996
512,sink_1,1,32,1.9452638626098633,0.6653976440429688,1.0805385855177336,0.07745963335037231
512,sink_1,1,64,2.0851683616638184,0.7348495125770569,1.1582515438577439,0.14691150188446045
512,sink_4,4,4,1.985058069229126,0.6856481432914734,1.1026431321340928,0.09771013259887695
512,sink_4,4,8,2.00173020362854,0.694011926651001,1.1119040272073888,0.10607391595840454
512,sink_4,4,16,2.0173516273498535,0.7017855048179626,1.120581282471338,0.11384749412536621
512,sink_4,4,32,2.0319039821624756,0.7089733481407166,1.1286647004525294,0.12103533744812012
512,sink_4,4,64,2.17726731300354,0.7780706286430359,1.2094098841328638,0.19013261795043945
1024,baseline,0,0,1.3522008657455444,0.30173352360725403,1.0,0.0
1024,no_sink_window,0,1,1.358975887298584,0.3067314028739929,1.0050103662293575,0.004997879266738892
1024,no_sink_window,0,2,1.3595316410064697,0.3071402907371521,1.0054213656022795,0.005406767129898071
1024,no_sink_window,0,4,1.355065107345581,0.3038494884967804,1.002118207192877,0.002115964889526367
1024,no_sink_window,0,8,1.3645555973052979,0.3108288049697876,1.0091367576169548,0.00909528136253357
1024,no_sink_window,0,16,1.378053903579712,0.32067230343818665,1.0191192288727853,0.018938779830932617
1024,no_sink_window,0,32,1.3840758800506592,0.32503265142440796,1.0235726918334282,0.02329912781715393
1024,sink_1,1,4,1.3762342929840088,0.3193510174751282,1.0177735629722537,0.017617493867874146
1024,sink_1,1,8,1.3943746089935303,0.33244603872299194,1.0311889633532612,0.030712515115737915
1024,sink_1,1,16,1.400734543800354,0.33699679374694824,1.0358923583650053,0.035263270139694214
1024,sink_1,1,32,1.389687180519104,0.32907867431640625,1.027722445476243,0.02734515070915222
1024,sink_1,1,64,1.4206902980804443,0.35114288330078125,1.0506503390656667,0.04940935969352722
1024,sink_4,4,4,1.4173673391342163,0.3488011658191681,1.04819289429514,0.04706764221191406
1024,sink_4,4,8,1.4210864305496216,0.35142168402671814,1.0509432929301497,0.04968816041946411
1024,sink_4,4,16,1.4223439693450928,0.3523062467575073,1.051873287006716,0.050572723150253296
1024,sink_4,4,32,1.4196826219558716,0.3504333198070526,1.0499051272039532,0.048699796199798584
1024,sink_4,4,64,1.4494571685791016,0.371189147233963,1.0719244494640479,0.06945562362670898
